Mods count: 177
 
                                     jar name                                      | notes |               mod id                |                     mod name                      |       mod version       |                                                                                                                                             mixin configs                                                                                                                                              |              modrinth hash               | curseforge hash
ftb-library-neoforge-26.1.2.3.jar                                                  |       | ftblibrary                          | FTB Library                                       | 26.1.2.3                | ftblibrary-common.mixins.json                                                                                                                                                                                                                                                                          | f2bc23315801a04ffbe09d0173165e87f0967aa4 | 1810950872     
    /META-INF/jarjar/json5-java-3.0.0.jar                                          |       |                                     |                                                   |                         |                                                                                                                                                                                                                                                                                                        |                                          |                
ftb-materials-26.1.2.4.jar                                                         |       | ftbmaterials                        | FTB Materials                                     | 26.1.2.4                | ftbmaterials.mixins.json                                                                                                                                                                                                                                                                               | 911da0a4a5eefeb553ab60f4f7e7e07113ab033b | 3156075397     
ftb-obsidian-26.1.2.1.jar                                                          |       | ftbobsidian                         | FTB Obsidian                                      | 26.1.2.1                | ftbobsidian.mixins.json                                                                                                                                                                                                                                                                                | 0d5ab8a8ff6c0a49060fdf1598204251b51c607a | 1906939305     
ftb-pack-companion-26.1.2.1-beta.jar                                               |       | ftbpc                               | FTB Pack Companion                                | 26.1.2.1-beta           | ftbpc.mixins.json                                                                                                                                                                                                                                                                                      | fded49b0de519f0d91a9da70ba6b0ffed7f2f21e | 843354385      
ftb-ranks-neoforge-26.1.2.2.jar                                                    |       | ftbranks                            | FTB Ranks                                         | 26.1.2.2                | ftbranks-common.mixins.json                                                                                                                                                                                                                                                                            | 590bcd3439b3c426177d680d9cf4326effe5088f | 1690738081     
ftb-teams-neoforge-26.1.2.4.jar                                                    |       | ftbteams                            | FTB Teams                                         | 26.1.2.4                |                                                                                                                                                                                                                                                                                                        | 4dbb1323eeff1d6a1a534e8f0c44924206bb6982 | 984516083      
ftb-ultimine-neoforge-26.1.2.3.jar                                                 |       | ftbultimine                         | FTB Ultimine                                      | 26.1.2.3                | ftbultimine-common.mixins.json                                                                                                                                                                                                                                                                         | ddfcc9532fb3004e4cebdbab8eaf48e6869e9b31 | 373824598      
fullbrightnesstoggle-26.1.2-4.5.jar                                                |       | fullbrightnesstoggle                | Full Brightness Toggle                            | 4.5                     | fullbrightnesstoggle_forge.mixins.json, fullbrightnesstoggle_fabric.mixins.json, fullbrightnesstoggle_neoforge.mixins.json                                                                                                                                                                             | a7e34308d6c6214de753fc7151362e85311d1cb9 | 3334268081     
fun_fluids-2.1.1.jar                                                               |       | fun_fluids                          | Functional Fluids                                 | 2.1.1                   | fun_fluids.mixins.json                                                                                                                                                                                                                                                                                 | 4fc678ca949dbf5e224a97afb9a90063c4e05ed9 | 1849493963     
geckolib-neoforge-26.1.2-5.5.1.jar                                                 |       | geckolib                            | GeckoLib 5                                        | 5.5.1                   | geckolib.mixins.json                                                                                                                                                                                                                                                                                   | ea53340011e1794bfdd01e3dc5fdef83afd83d1c | 3002735760     
Geophilic v3.5.mod.jar                                                             |       | geophilic                           | Geophilic                                         | 3.5                     |                                                                                                                                                                                                                                                                                                        | 9b191ff2a06d0e5cc3cbbc19a6de463b2cad78dc | 1169800265     
GlitchCore-neoforge-26.1.2-26.1.2.0.0.jar                                          |       | glitchcore                          | GlitchCore                                        | 26.1.2.0.0              | glitchcore.mixins.json, glitchcore.neoforge.mixins.json                                                                                                                                                                                                                                                | b229cae5831995f836c80878aa3e01e3b90145ba | 2999986906     
globalpacks-neoforge-26.1-26.1.0.jar                                               |       | globalpacks                         | Global Packs                                      | 26.1.0                  | globalpacks.mixins.json                                                                                                                                                                                                                                                                                | 43e518934673d912750c4ee14c36147123efb176 | 1404612482     
grindingballadditions-3.0.0.jar                                                    |       | grindingballadditions               | Enderio Grindingball Additions                    | 3.0.0                   |                                                                                                                                                                                                                                                                                                        | 6d8ce69443275c4f76bdc09d375b12e1ad6bc138 | 2117000383     
guideme-26.1.10-alpha.jar                                                          |       | guideme                             | GuideME                                           | 26.1.10-alpha           | guideme.optional.mixins.json, guideme.mixins.json                                                                                                                                                                                                                                                      | 235ea6fd617861509667b4d11aca0e4c887aa8b9 | 1606038287     
homesteads-2.0.0-for-neoforge-26.1.2.jar                                           |       | homesteads                          | Homesteads                                        | 2.0.0                   |                                                                                                                                                                                                                                                                                                        | 540bab12bca2c2ee9ddbdad368677d25815e1429 | 617432620      
ImmediatelyFast-NeoForge-1.15.2+26.1.2.jar                                         |       | immediatelyfast                     | ImmediatelyFast                                   | 1.15.2+26.1.2           | immediatelyfast-common.mixins.json, immediatelyfast-neoforge.mixins.json                                                                                                                                                                                                                               | e2c52c4161bf50215eb2fa68f6d90371d89471e3 | 2062651077     
    /META-INF/jars/Reflect-1.6.2.jar                                               |       |                                     |                                                   |                         |                                                                                                                                                                                                                                                                                                        |                                          |                
Incendium_26.1_v5.4.12.jar                                                         |       | incendium                           | Incendium                                         | 5.4.12                  |                                                                                                                                                                                                                                                                                                        | 74f78445b6da346eb08a9f730e86dc77925eed46 | 392693851      
integratedcrafting-26.1.2-neoforge-1.4.7-572.jar                                   |       | integratedcrafting                  | IntegratedCrafting                                | 1.4.7-572               |                                                                                                                                                                                                                                                                                                        | fbf0732e2b8772af72ef690a68e17fd09b3e19a2 | 1038532167     
integrateddynamics-26.1.2-neoforge-1.33.0-1834.jar                                 |       | integrateddynamics                  | IntegratedDynamics                                | 1.33.0-1834             | mixins.integrateddynamics.json                                                                                                                                                                                                                                                                         | 0fbd2eef31d0a773bf4ead77301c1a4aa29e5e1e | 1606345180     
integratedrest-26.1.2-neoforge-1.1.15.jar                                          |       | integratedrest                      | IntegratedREST                                    | 1.1.15                  |                                                                                                                                                                                                                                                                                                        | 9aa557de902f343f76ef6c887cb672eaf00bb94d | 1255580476     
integratedscripting-26.1.2-neoforge-1.0.22.jar                                     |       | integratedscripting                 | IntegratedScripting                               | 1.0.22                  |                                                                                                                                                                                                                                                                                                        | 870e1ddbeb410513cfe142f99f2df211772fdfd4 | 646689198      
integratedterminals-26.1.2-neoforge-1.6.31-776.jar                                 |       | integratedterminals                 | IntegratedTerminals                               | 1.6.31-776              |                                                                                                                                                                                                                                                                                                        | 8e4c3a9dee2dcbd4b72c7ae56987f1e11dab633e | 3887968478     
integratedtunnels-26.1.2-neoforge-1.9.5-627.jar                                    |       | integratedtunnels                   | IntegratedTunnels                                 | 1.9.5-627               |                                                                                                                                                                                                                                                                                                        | 2485aea19310ff69f66cf754be37612d2faa7c7f | 3461270836     
interdimensionalwirelesstransmitter-neoforge-26.1.2-1.0.1.jar                      |       | interdimensionalwirelesstransmitter | Interdimensional Wireless Transmitter             | 26.1.2-1.0.1            |                                                                                                                                                                                                                                                                                                        | 02a599791412dc305a7d4dbacc85e8780c532aa0 | 2775628891     
